Test1: Tree creation (10.1.1.100,224.12.12.12)
tests                                              DEBUG    2020-06-16 21:40:14,274                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,312                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,325                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,711                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,719                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,757                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,797                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:15,850                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,975                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,257                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
