Test1: Formation of (S,G) Broadcast Tree
Having Client0 and Client1 interested
About to start TCP server...
pim.KernelInterface                                DEBUG    2020-06-17 17:27:54,722                                              R2 Create virtual interface: eth1 -> 1
tests                                              DEBUG    2020-06-17 17:27:54,791                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,791                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,791                                              R3 python3 Run.py -ai eth1
pim.KernelInterface                                DEBUG    2020-06-17 17:27:54,827                                              R5 Create virtual interface: eth1 -> 1
pim.KernelInterface                                DEBUG    2020-06-17 17:27:54,837                                              R4 Create virtual interface: eth1 -> 1
tests                                              DEBUG    2020-06-17 17:27:54,861                                              R2 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,861                                              R2 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,861                                              R2 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,920                                              R5 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,920                                              R5 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,920                                              R5 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,953                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,953                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,953                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,971                                              R4 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,971                                              R4 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:54,971                                              R4 python3 Run.py -aiigmp eth1
pim.KernelInterface                                DEBUG    2020-06-17 17:27:55,013                                              R1 Create virtual interface: eth1 -> 1
tests                                              DEBUG    2020-06-17 17:27:55,021                                              R6 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:55,021                                              R6 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:55,021                                              R6 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:55,154                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,154                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,154                                              R1 python3 Run.py -aiigmp eth1
pim.KernelInterface                                DEBUG    2020-06-17 17:27:55,314                                              R3 Create virtual interface: eth1 -> 1
pim.KernelInterface                                DEBUG    2020-06-17 17:27:55,438                                              R7 Create virtual interface: eth1 -> 1
tests                                              DEBUG    2020-06-17 17:27:55,453                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,453                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,453                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,531                                              R7 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,531                                              R7 python3 Run.py -aiigmp eth1
